,from_bus,Latitude_from_bus,Longitude_from_bus,to_bus,Latitude_to_bus,Longitude_to_bus,circuit
70,52,33.91865,-118.095428,62,34.566258000000005,-117.316428,'1 '
71,53,33.81865,-118.095428,56,34.01865,-117.995428,'1 '
72,53,33.81865,-118.095428,56,34.01865,-117.995428,'2 '
73,54,34.01865,-118.195428,57,34.01865,-117.89542800000001,'1 '
74,54,34.01865,-118.195428,57,34.01865,-117.89542800000001,'2 '
75,54,34.01865,-118.195428,61,34.2436,-118.391667,'1 '
76,56,34.01865,-117.995428,57,34.01865,-117.89542800000001,'1 '
77,60,34.315456,-118.531217,136,34.150835,-118.18431799999999,'1 '
78,60,34.315456,-118.531217,149,34.388084,-118.58276299999999,'1 '
79,60,34.315456,-118.531217,149,34.388084,-118.58276299999999,'2 '
80,63,34.565258,-117.36842800000001,138,34.101834999999994,-118.18431799999999,'1 '
81,63,34.565258,-117.36842800000001,138,34.101834999999994,-118.18431799999999,'2 '
82,63,34.565258,-117.36842800000001,141,34.366727000000004,-117.369299,'1 '
83,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'1 '
84,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'2 '
85,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'3 '
86,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'4 '
87,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'5 '
88,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'6 '
89,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'7 '
90,65,46.565672,-106.60906000000001,77,46.669335,-119.571501,'8 '
91,67,45.606833,-121.11478500000001,70,45.596416,-121.112202,'1 '
92,67,45.606833,-121.11478500000001,70,45.596416,-121.112202,'2 '
93,68,45.806833000000005,-122.11378500000001,71,45.595416,-121.114202,'1 '
94,68,45.806833000000005,-122.11378500000001,71,45.595416,-121.114202,'2 '
95,68,45.806833000000005,-122.11378500000001,75,45.813936,-120.69228600000001,'1 '
96,68,45.806833000000005,-122.11378500000001,75,45.813936,-120.69228600000001,'2 '
97,72,45.891161,-106.612578,74,46.51144,-112.88531,'1 '
98,72,45.891161,-106.612578,74,46.51144,-112.88531,'2 '
99,72,45.891161,-106.612578,74,46.51144,-112.88531,'3 '
100,72,45.891161,-106.612578,74,46.51144,-112.88531,'4 '
101,73,47.954899,-118.997945,77,46.669335,-119.571501,'1 '
102,74,46.51144,-112.88531,75,45.813936,-120.69228600000001,'1 '
103,74,46.51144,-112.88531,75,45.813936,-120.69228600000001,'2 '
104,74,46.51144,-112.88531,77,46.669335,-119.571501,'1 '
105,74,46.51144,-112.88531,77,46.669335,-119.571501,'2 '
106,74,46.51144,-112.88531,77,46.669335,-119.571501,'3 '
107,74,46.51144,-112.88531,77,46.669335,-119.571501,'4 '
108,75,45.813936,-120.69228600000001,77,46.669335,-119.571501,'1 '
109,75,45.813936,-120.69228600000001,77,46.669335,-119.571501,'2 '
110,75,45.813936,-120.69228600000001,81,44.48235,-121.019484,'1 '
111,75,45.813936,-120.69228600000001,81,44.48235,-121.019484,'2 '
112,75,45.813936,-120.69228600000001,81,44.48235,-121.019484,'3 '
113,77,46.669335,-119.571501,79,47.624154,-122.21949199999999,'1 '
114,77,46.669335,-119.571501,79,47.624154,-122.21949199999999,'2 '
115,77,46.669335,-119.571501,79,47.624154,-122.21949199999999,'3 '
116,77,46.669335,-119.571501,79,47.624154,-122.21949199999999,'4 '
117,80,43.68473,-118.77463,98,43.620189,-118.86588200000001,'1 '
118,80,43.68473,-118.77463,98,43.620189,-118.86588200000001,'2 '
119,80,43.68473,-118.77463,179,43.68573,-118.87463000000001,'1 '
120,80,43.68473,-118.77463,179,43.68573,-118.87463000000001,'2 '
121,81,44.48235,-121.019484,86,44.06835,-120.99484,'1 '
122,81,44.48235,-121.019484,90,44.06835,-121.11548400000001,'1 '
123,81,44.48235,-121.019484,94,44.06835,-121.013484,'1 '
124,82,42.006859999999996,-121.316546,88,42.43835,-121.216546,'1 '
125,82,42.006859999999996,-121.316546,93,42.53835,-121.17548400000001,'1 '
126,82,42.006859999999996,-121.316546,97,42.53835,-121.07348400000001,'1 '
127,82,42.006859999999996,-121.316546,167,41.906859999999995,-121.316546,'1 '
128,82,42.006859999999996,-121.316546,169,41.906859999999995,-121.216546,'1 '
129,82,42.006859999999996,-121.316546,171,41.906859999999995,-121.411546,'1 '
130,83,42.834919,-114.419206,98,43.620189,-118.86588200000001,'1 '
131,83,42.834919,-114.419206,98,43.620189,-118.86588200000001,'2 '
132,84,42.731919,-114.419206,155,41.338578000000005,-112.048172,'1 '
133,84,42.731919,-114.419206,155,41.338578000000005,-112.048172,'2 '
134,85,43.013135,-120.956476,87,43.55835,-120.97483999999999,'1 '
135,85,43.013135,-120.956476,89,42.93835,-121.116546,'1 '
136,85,43.013135,-120.956476,179,43.68573,-118.87463000000001,'1 '
137,85,43.013135,-120.956476,179,43.68573,-118.87463000000001,'2 '
138,86,44.06835,-120.99484,87,43.55835,-120.97483999999999,'1 '
139,88,42.43835,-121.216546,89,42.93835,-121.116546,'1 '
140,90,44.06835,-121.11548400000001,91,43.55835,-121.135484,'1 '
141,91,43.55835,-121.135484,92,43.04835,-121.155484,'1 '
142,92,43.04835,-121.155484,93,42.53835,-121.17548400000001,'1 '
143,94,44.06835,-121.013484,95,43.55835,-121.033484,'1 '
144,95,43.55835,-121.033484,96,43.04835,-121.05348400000001,'1 '
145,96,43.04835,-121.05348400000001,97,42.53835,-121.07348400000001,'1 '
146,99,39.120428000000004,-122.22363100000001,100,40.398031,-122.263453,'1 '
147,99,39.120428000000004,-122.22363100000001,116,38.406721000000005,-121.10878999999998,'1 '
148,100,40.398031,-122.263453,104,39.777745,-122.14296499999999,'1 '
149,100,40.398031,-122.263453,105,39.539598,-122.262993,'1 '
150,100,40.398031,-122.263453,112,40.806689,-121.935718,'1 '
151,100,40.398031,-122.263453,112,40.806689,-121.935718,'2 '
152,100,40.398031,-122.263453,112,40.806689,-121.935718,'3 '
153,100,40.398031,-122.263453,116,38.406721000000005,-121.10878999999998,'1 '
154,101,35.2162,-120.847567,103,36.142099,-120.129849,'1 '
155,101,35.2162,-120.847567,107,35.403217,-119.450452,'1 '
156,101,35.2162,-120.847567,107,35.403217,-119.450452,'2 '
157,103,36.142099,-120.129849,106,37.052929,-121.021929,'1 '
158,103,36.142099,-120.129849,133,37.854721000000005,-121.23778999999999,'1 '
159,103,36.142099,-120.129849,134,36.091099,-120.129849,'1 '
160,104,39.777745,-122.14296499999999,116,38.406721000000005,-121.10878999999998,'1 '
161,105,39.539598,-122.262993,116,38.406721000000005,-121.10878999999998,'1 '
162,106,37.052929,-121.021929,107,35.403217,-119.450452,'1 '
163,106,37.052929,-121.021929,109,36.807243,-121.77903700000002,'1 '
164,107,35.403217,-119.450452,132,37.954721,-121.13078999999999,'1 '
165,107,35.403217,-119.450452,134,36.091099,-120.129849,'1 '
166,107,35.403217,-119.450452,173,35.403217,-119.550452,'1 '
167,107,35.403217,-119.450452,175,35.403217,-119.45545200000001,'1 '
168,107,35.403217,-119.450452,177,35.403217,-119.350452,'1 '
169,110,39.23745,-122.276225,119,39.21745,-122.276225,'1 '
170,110,39.23745,-122.276225,119,39.21745,-122.276225,'2 '
171,110,39.23745,-122.276225,119,39.21745,-122.276225,'3 '
172,110,39.23745,-122.276225,119,39.21745,-122.276225,'4 '
173,110,39.23745,-122.276225,172,41.80686,-121.411546,'1 '
174,113,40.908689,-121.935718,114,39.555494,-121.644407,'1 '
175,113,40.908689,-121.935718,123,40.807689,-121.935718,'1 '
176,113,40.908689,-121.935718,125,40.707689,-121.88071799999999,'1 '
177,113,40.908689,-121.935718,168,41.80186,-121.316546,'1 '
178,113,40.908689,-121.935718,170,41.80186,-121.216546,'1 '
179,114,39.555494,-121.644407,124,40.754689,-121.935718,'1 '
180,114,39.555494,-121.644407,126,40.654689000000005,-121.88071799999999,'1 '
181,114,39.555494,-121.644407,127,39.555494,-121.64040700000001,'1 '
182,114,39.555494,-121.644407,129,39.555494,-121.74440700000001,'1 '
183,118,38.656721000000005,-121.23978999999999,122,39.06745,-122.276225,'1 '
184,118,38.656721000000005,-121.23978999999999,122,39.06745,-122.276225,'2 '
185,118,38.656721000000005,-121.23978999999999,128,39.501494,-121.64040700000001,'1 '
186,118,38.656721000000005,-121.23978999999999,130,39.501494,-121.74440700000001,'1 '
187,118,38.656721000000005,-121.23978999999999,131,38.054721,-121.18378999999999,'1 '
188,118,38.656721000000005,-121.23978999999999,133,37.854721000000005,-121.23778999999999,'1 '
189,119,39.21745,-122.276225,120,39.16745,-122.276225,'1 '
190,119,39.21745,-122.276225,120,39.16745,-122.276225,'2 '
191,120,39.16745,-122.276225,121,39.11745,-122.276225,'1 '
192,120,39.16745,-122.276225,121,39.11745,-122.276225,'2 '
193,121,39.11745,-122.276225,122,39.06745,-122.276225,'1 '
194,121,39.11745,-122.276225,122,39.06745,-122.276225,'2 '
195,121,39.11745,-122.276225,122,39.06745,-122.276225,'3 '
196,121,39.11745,-122.276225,122,39.06745,-122.276225,'4 '
197,123,40.807689,-121.935718,124,40.754689,-121.935718,'1 '
198,125,40.707689,-121.88071799999999,126,40.654689000000005,-121.88071799999999,'1 '
199,127,39.555494,-121.64040700000001,128,39.501494,-121.64040700000001,'1 '
200,129,39.555494,-121.74440700000001,130,39.501494,-121.74440700000001,'1 '
201,131,38.054721,-121.18378999999999,132,37.954721,-121.13078999999999,'1 '
202,135,33.937267999999996,-116.57798500000001,151,34.2436,-118.391667,'1 '
203,136,34.150835,-118.18431799999999,142,34.037454,-118.109265,'1 '
204,136,34.150835,-118.18431799999999,149,34.388084,-118.58276299999999,'1 '
205,138,34.101834999999994,-118.18431799999999,141,34.366727000000004,-117.369299,'1 '
206,138,34.101834999999994,-118.18431799999999,146,35.107654,-114.595307,'1 '
207,140,33.829491,-118.175177,142,34.037454,-118.109265,'1 '
208,140,33.829491,-118.175177,142,34.037454,-118.109265,'2 '
209,141,34.366727000000004,-117.369299,144,34.007821,-117.5125,'1 '
210,141,34.366727000000004,-117.369299,144,34.007821,-117.5125,'2 '
211,141,34.366727000000004,-117.369299,146,35.107654,-114.595307,'1 '
212,141,34.366727000000004,-117.369299,150,33.82931,-117.78936000000002,'1 '
213,141,34.366727000000004,-117.369299,152,34.486247,-118.118227,'1 '
214,141,34.366727000000004,-117.369299,152,34.486247,-118.118227,'2 '
215,142,34.037454,-118.109265,145,34.007821,-117.6105,'1 '
216,142,34.037454,-118.109265,153,34.434247,-118.118227,'1 '
217,144,34.007821,-117.5125,150,33.82931,-117.78936000000002,'1 '
218,144,34.007821,-117.5125,150,33.82931,-117.78936000000002,'2 '
219,149,34.388084,-118.58276299999999,153,34.434247,-118.118227,'1 '
220,149,34.388084,-118.58276299999999,153,34.434247,-118.118227,'2 '
221,150,33.82931,-117.78936000000002,151,34.2436,-118.391667,'1 '
222,152,34.486247,-118.118227,174,35.308217,-119.550452,'1 '
223,152,34.486247,-118.118227,176,35.308217,-119.45545200000001,'1 '
224,152,34.486247,-118.118227,178,35.308217,-119.350452,'1 '
225,154,40.469158,-111.94771499999999,155,41.338578000000005,-112.048172,'1 '
226,154,40.469158,-111.94771499999999,157,39.177375,-111.028737,'1 '
227,154,40.469158,-111.94771499999999,157,39.177375,-111.028737,'2 '
228,154,40.469158,-111.94771499999999,159,39.809556,-111.90869099999999,'1 '
229,154,40.469158,-111.94771499999999,159,39.809556,-111.90869099999999,'2 '
230,154,40.469158,-111.94771499999999,159,39.809556,-111.90869099999999,'3 '
231,154,40.469158,-111.94771499999999,159,39.809556,-111.90869099999999,'4 '
232,154,40.469158,-111.94771499999999,164,40.080517,-111.606269,'1 '
233,154,40.469158,-111.94771499999999,166,40.757317,-112.007263,'1 '
234,154,40.469158,-111.94771499999999,166,40.757317,-112.007263,'2 '
235,155,41.338578000000005,-112.048172,166,40.757317,-112.007263,'1 '
236,156,41.239578,-112.048172,160,41.7585,-110.6005,'1 '
237,156,41.239578,-112.048172,160,41.7585,-110.6005,'2 '
238,157,39.177375,-111.028737,159,39.809556,-111.90869099999999,'1 '
239,157,39.177375,-111.028737,163,37.829747,-109.314458,'1 '
240,157,39.177375,-111.028737,164,40.080517,-111.606269,'1 '
241,157,39.177375,-111.028737,165,38.843763,-111.994022,'1 '
242,157,39.177375,-111.028737,165,38.843763,-111.994022,'2 '
243,159,39.809556,-111.90869099999999,165,38.843763,-111.994022,'1 '
244,159,39.809556,-111.90869099999999,165,38.843763,-111.994022,'2 '
245,167,41.906859999999995,-121.316546,168,41.80186,-121.316546,'1 '
246,169,41.906859999999995,-121.216546,170,41.80186,-121.216546,'1 '
247,171,41.906859999999995,-121.411546,172,41.80686,-121.411546,'1 '
248,173,35.403217,-119.550452,174,35.308217,-119.550452,'1 '
249,175,35.403217,-119.45545200000001,176,35.308217,-119.45545200000001,'1 '
250,177,35.403217,-119.350452,178,35.308217,-119.350452,'1 '
