DataFrame Index,BusName,Latitude,Longitude,BusNumber,Location,Interconnection,EquipmentType,Generator,Type
53, STA E    230 ,34.01865,-118.195428,54,"STA E    230, CA",WI,PMU,0,
54, STA E    500 ,34.01865,-118.295428,55,"STA E    500, CA",WI,PMU,0,
55, STA F    230 ,34.01865,-117.995428,56,"STA F    230, CA",WI,PMU,0,
56, STA G    230 ,34.01865,-117.895428,57,"STA G    230, CA",WI,PMU,0,
57, STA J    230 ,34.01865,-117.995428,58,"STA J    230, CA",WI,PMU,0,
58, SYLMARLA 230 ,34.312456,-118.481217,59,"SYLMARLA 230, CA",WI,PMU,0,
59, SYLMAR S 230 ,34.315456,-118.531217,60,"SYLMAR S 230, CA",WI,PMU,0,
60, VALLEY   230 ,34.2436,-118.391667,61,"VALLEY   230, CA",WI,PMU,0,
61, VICTORVL 287 ,34.566258,-117.316428,62,"VICTORVL 287, CA",WI,PMU,0,
62, VICTORVL 500 ,34.565258,-117.368428,63,"VICTORVL 500, CA",WI,PMU,0,
63, MONTA G120.0 ,46.064672,-106.60906,64,"MONTA G120.0, WA",WI,PMU,1,
64, MONTANA  500 ,46.565672,-106.60906,65,"MONTANA  500, WA",WI,PMU,0,
65, BIG EDDY 115 ,45.514571,-122.681289,66,"BIG EDDY 115, OR",WI,PMU,0,
66, BIG EDDY 230 ,45.606833,-121.114785,67,"BIG EDDY 230, OR",WI,PMU,0,
67, BIG EDDY 500 ,45.806833,-122.113785,68,"BIG EDDY 500, OR",WI,PMU,0,
68, DALLES2113.8 ,44.89,-123.29,69,"DALLES2113.8, OR",WI,PMU,1,Hydro
69, CELILO   230 ,45.596416,-121.112202,70,"CELILO   230, OR",WI,PMU,0,
70, CELILOCA 500 ,45.595416,-121.114202,71,"CELILOCA 500, OR",WI,PMU,0,
71, COLSTRP  500 ,45.891161,-106.612578,72,"COLSTRP  500, MT",WI,PMU,0,
72, COULEE   500 ,47.954899,-118.997945,73,"COULEE   500, WA",WI,PMU,0,
73, GARRISON 500 ,46.51144,-112.88531,74,"GARRISON 500, MT",WI,PMU,0,
74, JOHN DAY 500 ,45.813936,-120.692286,75,"JOHN DAY 500, OR",WI,PMU,0,
75, JOHN DAY13.8 ,45.713936,-120.693974,76,"JOHN DAY13.8, OR",WI,PMU,1,Hydro
76, HANFORD  500 ,46.669335,-119.571501,77,"HANFORD  500, WA",WI,PMU,0,
77, NORTH G320.0 ,47.954899,-120.997945,78,"NORTH G320.0, WA",WI,PMU,1,
78, NORTH    500 ,47.624154,-122.219492,79,"NORTH    500, WA",WI,PMU,0,
79, BURNS    500 ,43.68473,-118.77463,80,"BURNS    500, WY",WI,PMU,0,
80, GRIZZLY  500 ,44.48235,-121.019484,81,"GRIZZLY  500, OR",WI,PMU,0,
81, MALIN    500 ,42.00686,-121.316546,82,"MALIN    500, OR",WI,PMU,0,
82, MIDPOINT 500 ,42.834919,-114.419206,83,"MIDPOINT 500, ID",WI,PMU,0,
83, MIDPOINT 345 ,42.731919,-114.419206,84,"MIDPOINT 345, ID",WI,PMU,0,
84, SUMMER L 500 ,43.013135,-120.956476,85,"SUMMER L 500, OR",WI,PMU,0,
85, GRIZZLY1 500 ,44.06835,-120.99484,86,"GRIZZLY1 500, OR",WI,PMU,0,
86, GRIZZLY2 500 ,43.55835,-120.97484,87,"GRIZZLY2 500, OR",WI,PMU,0,
87, MALIN1   500 ,42.43835,-121.216546,88,"MALIN1   500, OR",WI,PMU,0,
88, MALIN2   500 ,42.93835,-121.116546,89,"MALIN2   500, OR",WI,PMU,0,
89, GRIZZLY3 500 ,44.06835,-121.115484,90,"GRIZZLY3 500, OR",WI,PMU,0,
90, GRIZZLY4 500 ,43.55835,-121.135484,91,"GRIZZLY4 500, OR",WI,PMU,0,
91, GRIZZLY5 500 ,43.04835,-121.155484,92,"GRIZZLY5 500, OR",WI,PMU,0,
92, GRIZZLY6 500 ,42.53835,-121.175484,93,"GRIZZLY6 500, OR",WI,PMU,0,
93, GRIZZLY7 500 ,44.06835,-121.013484,94,"GRIZZLY7 500, OR",WI,PMU,0,
94, GRIZZLY8 500 ,43.55835,-121.033484,95,"GRIZZLY8 500, OR",WI,PMU,0,
95, GRIZZLY9 500 ,43.04835,-121.053484,96,"GRIZZLY9 500, OR",WI,PMU,0,
96, GRIZZLYA 500 ,42.53835,-121.073484,97,"GRIZZLYA 500, OR",WI,PMU,0,
97, BURNS1   500 ,43.620189,-118.865882,98,"BURNS1   500, WY",WI,PMU,0,
98, CORTINA  200 ,39.120428,-122.223631,99,"CORTINA  200, CA",WI,PMU,0,
99, COTWDPGE 200 ,40.398031,-122.263453,100,"COTWDPGE 200, CA",WI,PMU,0,
100, DIABLO   500 ,35.2162,-120.847567,101,"DIABLO   500, CA",WI,PMU,0,
101, DIABLO1 25.0 ,35.2152,-120.900567,102,"DIABLO1 25.0, CA",WI,PMU,1,
102, GATES    500 ,36.142099,-120.129849,103,"GATES    500, CA",WI,PMU,0,
103, GLENN    200 ,39.777745,-122.142965,104,"GLENN    200, CA",WI,PMU,0,
104, LOGAN CR 200 ,39.539598,-122.262993,105,"LOGAN CR 200, CA",WI,PMU,0,
105, LOSBANOS 500 ,37.052929,-121.021929,106,"LOSBANOS 500, CA",WI,PMU,0,
106, MIDWAY   500 ,35.403217,-119.450452,107,"MIDWAY   500, CA",WI,PMU,0,
107, MIDWAY   200 ,35.352217,-119.450452,108,"MIDWAY   200, CA",WI,PMU,0,
108, MOSSLAND 500 ,36.807243,-121.779037,109,"MOSSLAND 500, CA",WI,PMU,0,
109, OLINDA   500 ,39.23745,-122.276225,110,"OLINDA   500, CA",WI,PMU,0,
110, ROUND MT20.0 ,40.707689,-121.935718,111,"ROUND MT20.0, CA",WI,PMU,1,
111, ROUND MT 200 ,40.806689,-121.935718,112,"ROUND MT 200, CA",WI,PMU,0,
112, ROUND MT 500 ,40.908689,-121.935718,113,"ROUND MT 500, CA",WI,PMU,0,
113, TABLE MT 500 ,39.555494,-121.644407,114,"TABLE MT 500, CA",WI,PMU,0,
114, TEVATR  20.0 ,37.954721,-121.18379,115,"TEVATR  20.0, CA",WI,PMU,1,
115, TEVATR   200 ,38.406721,-121.10879,116,"TEVATR   200, CA",WI,PMU,0,
116, TEVATR2 20.0 ,38.906721,-121.27379,117,"TEVATR2 20.0, CA",WI,PMU,1,
117, TEVATR   500 ,38.656721,-121.23979,118,"TEVATR   500, CA",WI,PMU,0,
118, OLINDA1  500 ,39.21745,-122.276225,119,"OLINDA1  500, CA",WI,PMU,0,
119, OLINDA2  500 ,39.16745,-122.276225,120,"OLINDA2  500, CA",WI,PMU,0,
120, OLINDA3  500 ,39.11745,-122.276225,121,"OLINDA3  500, CA",WI,PMU,0,
121, OLINDA4  500 ,39.06745,-122.276225,122,"OLINDA4  500, CA",WI,PMU,0,
122, ROUND1   500 ,40.807689,-121.935718,123,"ROUND1   500, CA",WI,PMU,0,
123, ROUND2   500 ,40.754689,-121.935718,124,"ROUND2   500, CA",WI,PMU,0,
124, ROUND3   500 ,40.707689,-121.880718,125,"ROUND3   500, CA",WI,PMU,0,
125, ROUND4   500 ,40.654689,-121.880718,126,"ROUND4   500, CA",WI,PMU,0,
126, TABLE1   500 ,39.555494,-121.640407,127,"TABLE1   500, CA",WI,PMU,0,
127, TABLE2   500 ,39.501494,-121.640407,128,"TABLE2   500, CA",WI,PMU,0,
128, TABLE3   500 ,39.555494,-121.744407,129,"TABLE3   500, CA",WI,PMU,0,
129, TABLE4   500 ,39.501494,-121.744407,130,"TABLE4   500, CA",WI,PMU,0,
130, TEVATR1  500 ,38.054721,-121.18379,131,"TEVATR1  500, CA",WI,PMU,0,
131, TEVATR2  500 ,37.954721,-121.13079,132,"TEVATR2  500, CA",WI,PMU,0,
132, TEVATR3  500 ,37.854721,-121.23779,133,"TEVATR3  500, CA",WI,PMU,0,
133, GATES1   500 ,36.091099,-120.129849,134,"GATES1   500, CA",WI,PMU,0,
134, DEVERS   500 ,33.937268,-116.577985,135,"DEVERS   500, CA",WI,PMU,0,
135, EAGLROCK 230 ,34.150835,-118.184318,136,"EAGLROCK 230, CA",WI,PMU,0,
136, ELDORADO20.0 ,34.20835,-118.184318,137,"ELDORADO20.0, NV",WI,PMU,1,
137, ELDORADO 500 ,34.101835,-118.184318,138,"ELDORADO 500, NV",WI,PMU,0,
138, LITEHIPE20.0 ,33.880491,-118.175177,139,"LITEHIPE20.0, CA",WI,PMU,1,
139, LITEHIPE 230 ,33.829491,-118.175177,140,"LITEHIPE 230, CA",WI,PMU,0,
140, LUGO     500 ,34.366727,-117.369299,141,"LUGO     500, CA",WI,PMU,0,
141, MESA CAL 230 ,34.037454,-118.109265,142,"MESA CAL 230, CA",WI,PMU,0,
142, MIRALOMA20.0 ,34.007821,-117.5645,143,"MIRALOMA20.0, CA",WI,PMU,1,
143, MIRALOMA 500 ,34.007821,-117.5125,144,"MIRALOMA 500, CA",WI,PMU,0,
144, MIRALOMA 230 ,34.007821,-117.6105,145,"MIRALOMA 230, CA",WI,PMU,0,
145, MOHAVE   500 ,35.107654,-114.595307,146,"MOHAVE   500, NV",WI,PMU,0,
146, MOHAV1CC22.0 ,35.148654,-114.595307,147,"MOHAV1CC22.0, NV",WI,PMU,1,
147, PARDEE  20.0 ,34.439084,-118.582763,148,"PARDEE  20.0, CA",WI,PMU,1,
148, PARDEE   230 ,34.388084,-118.582763,149,"PARDEE   230, CA",WI,PMU,0,
149, SERRANO  500 ,33.82931,-117.78936,150,"SERRANO  500, CA",WI,PMU,0,
150, VALLEY   500 ,34.2436,-118.391667,151,"VALLEY   500, CA",WI,PMU,0,
151, VINCENT  500 ,34.486247,-118.118227,152,"VINCENT  500, CA",WI,PMU,0,
152, VINCENT  230 ,34.434247,-118.118227,153,"VINCENT  230, CA",WI,PMU,0,
153, CAMP WIL 345 ,40.469158,-111.947715,154,"CAMP WIL 345, UT",WI,PMU,0,
154, BENLOMND 345 ,41.338578,-112.048172,155,"BENLOMND 345, UT",WI,PMU,0,
155, BENLOMND 230 ,41.239578,-112.048172,156,"BENLOMND 230, UT",WI,PMU,0,
156, EMERY    345 ,39.177375,-111.028737,157,"EMERY    345, UT",WI,PMU,0,
157, EMERY   20.0 ,39.177375,-111.079737,158,"EMERY   20.0, UT",WI,PMU,1,
158, MONA     345 ,39.809556,-111.908691,159,"MONA     345, UT",WI,PMU,0,
159, NAUGHTON 230 ,41.7585,-110.6005,160,"NAUGHTON 230, WY",WI,PMU,0,
160, NAUGHT  20.0 ,41.7055,-110.555,161,"NAUGHT  20.0, WY",WI,PMU,1,
161, PINTO PS 345 ,37.870747,-109.314458,162,"PINTO PS 345, UT",WI,PMU,0,
162, PINTO    345 ,37.829747,-109.314458,163,"PINTO    345, UT",WI,PMU,0,
163, SPAN FRK 345 ,40.080517,-111.606269,164,"SPAN FRK 345, UT",WI,PMU,0,
164, SIGURD   345 ,38.843763,-111.994022,165,"SIGURD   345, UT",WI,PMU,0,
165, TERMINAL 345 ,40.757317,-112.007263,166,"TERMINAL 345, UT",WI,PMU,0,
166, MALIN3   500 ,41.90686,-121.316546,167,"MALIN3   500, OR",WI,PMU,0,
167, MALIN4   500 ,41.80186,-121.316546,168,"MALIN4   500, OR",WI,PMU,0,
168, MALIN5   500 ,41.90686,-121.216546,169,"MALIN5   500, OR",WI,PMU,0,
169, MALIN6   500 ,41.80186,-121.216546,170,"MALIN6   500, OR",WI,PMU,0,
170, MALIN7   500 ,41.90686,-121.411546,171,"MALIN7   500, OR",WI,PMU,0,
171, MALIN8   500 ,41.80686,-121.411546,172,"MALIN8   500, OR",WI,PMU,0,
172, MIDWAY1  500 ,35.403217,-119.550452,173,"MIDWAY1  500, CA",WI,PMU,0,
173, MIDWAY2  500 ,35.308217,-119.550452,174,"MIDWAY2  500, CA",WI,PMU,0,
174, MIDWAY3  500 ,35.403217,-119.455452,175,"MIDWAY3  500, CA",WI,PMU,0,
175, MIDWAY4  500 ,35.308217,-119.455452,176,"MIDWAY4  500, CA",WI,PMU,0,
176, MIDWAY5  500 ,35.403217,-119.350452,177,"MIDWAY5  500, CA",WI,PMU,0,
177, MIDWAY6  500 ,35.308217,-119.350452,178,"MIDWAY6  500, CA",WI,PMU,0,
178, BURNS2   500 ,43.68573,-118.87463,179,"BURNS2   500, WY",WI,PMU,0,
179, ADDBUS1  20.0,46.41144,-112.88531,180,"ADDBUS1 20.0, MT",WI,PMU,0,
180, ADDBUS2  20.0,39.056721,-121.23979,181,"ADDBUS2� 20.0, CA",WI,PMU,0,
