Gen Index, Gen Bus, Upper Bound,1, 2, 3
130, 315, 12.0, 0.0,0.0,-0.0 
131, 315, 12.0, 0.0,0.0,-0.0 
132, 315, 12.0, 0.0,0.0,-0.0 
133, 315, 12.0, 0.0,0.0,-0.0 
134, 315, 55.00000000000001, 0.0,0.0,-1.0 
135, 315, 55.00000000000001, 0.0,0.0,-1.0 
136, 315, 55.00000000000001, 0.0,0.0,-1.0 
137, 316, 155.0, 0.0,0.0,155.0 
138, 316, 0.0, 0.0,0.0,0.0 
139, 317, 799.1, 0.0,0.0,0.0 
140, 318, 355.0, 0.0,0.0,-4.0 
141, 319, 188.2, 0.0,0.0,0.0 
142, 320, 51.6, 0.0,0.0,0.0 
143, 320, 27.3, 0.0,0.0,0.0 
144, 320, 27.0, 0.0,0.0,0.0 
145, 320, 28.300000000000004, 0.0,0.0,0.0 
146, 320, 27.0, 0.0,0.0,0.0 
147, 320, 28.199999999999996, 0.0,0.0,0.0 
148, 320, 9.4, 0.0,0.0,0.0 
149, 321, 355.0, 0.0,0.0,-4.0 
150, 322, 55.00000000000001, 0.0,0.0,-1.0 
151, 322, 55.00000000000001, 0.0,0.0,-1.0 
152, 322, 50.0, 0.0,0.0,-0.0 
153, 322, 50.0, 0.0,0.0,-0.0 
154, 322, 50.0, 0.0,0.0,-0.0 
155, 322, 50.0, 0.0,0.0,-0.0 
156, 323, 355.0, 0.0,0.0,-4.0 
157, 323, 355.0, 0.0,0.0,-4.0 
158, 324, 49.7, 0.0,0.0,0.0 
159, 324, 51.6, 0.0,0.0,0.0 
160, 324, 51.0, 0.0,0.0,0.0 
161, 1001, 20.0, 0.0,0.0,0.0 
162, 1002, 20.0, 0.0,0.0,0.0 
163, 1003, 76.0, 0.0,0.0,0.0 
164, 1004, 76.0, 0.0,0.0,0.0 
165, 1005, 20.0, 0.0,0.0,0.0 
166, 1006, 20.0, 0.0,0.0,0.0 
167, 1007, 76.0, 0.0,0.0,0.0 
168, 1008, 76.0, 0.0,0.0,0.0 
169, 1009, 355.0, 0.0,0.0,0.0 
170, 1010, 55.00000000000001, 0.0,0.0,-1.0 
171, 1011, 55.00000000000001, 0.0,0.0,-1.0 
172, 1012, 55.00000000000001, 0.0,0.0,-1.0 
173, 1013, 55.00000000000001, 0.0,0.0,-1.0 
174, 1014, 0.0, 0.0,0.0,0.0 
175, 1015, 12.0, 0.0,0.0,-0.0 
176, 1016, 12.0, 0.0,0.0,-0.0 
177, 1017, 155.0, 0.0,0.0,-2.0 
178, 1018, 155.0, 0.0,0.0,-2.0 
179, 1019, 355.0, 0.0,0.0,-4.0 
180, 1020, 400.0, 0.0,0.0,400.0 
181, 1021, 50.0, 0.0,0.0,-0.0 
182, 1022, 50.0, 0.0,0.0,-0.0 
183, 1023, 50.0, 0.0,0.0,-0.0 
184, 1024, 50.0, 0.0,0.0,-0.0 
185, 1025, 50.0, 0.0,0.0,-0.0 
186, 1026, 50.0, 0.0,0.0,-0.0 
187, 1027, 155.0, 0.0,0.0,-2.0 
188, 1028, 350.0, 0.0,0.0,-4.0 
189, 1029, 55.00000000000001, 0.0,0.0,-1.0 
190, 1030, 55.00000000000001, 0.0,0.0,-1.0 
191, 1031, 55.00000000000001, 0.0,0.0,-1.0 
192, 1032, 20.0, 0.0,0.0,0.0 
193, 1033, 20.0, 0.0,0.0,0.0 
194, 1034, 76.0, 0.0,0.0,0.0 
195, 1035, 50.0, 0.0,0.0,0.0 
196, 1036, 20.0, 0.0,0.0,0.0 
197, 1037, 20.0, 0.0,0.0,0.0 
198, 1038, 76.0, 0.0,0.0,0.0 
199, 1039, 76.0, 0.0,0.0,0.0 
200, 1040, 55.00000000000001, 0.0,0.0,0.0 
201, 1041, 55.00000000000001, 0.0,0.0,0.0 
202, 1042, 355.0, 0.0,0.0,-4.0 
203, 1043, 55.00000000000001, 0.0,0.0,-1.0 
204, 1044, 55.00000000000001, 0.0,0.0,-1.0 
205, 1045, 0.0, 0.0,0.0,0.0 
206, 1046, 55.00000000000001, 0.0,0.0,-1.0 
207, 1047, 55.00000000000001, 0.0,0.0,-1.0 
208, 1048, 50.0, 0.0,0.0,-0.0 
209, 1049, 50.0, 0.0,0.0,-0.0 
210, 1050, 50.0, 0.0,0.0,-0.0 
211, 1051, 155.0, 0.0,0.0,-2.0 
212, 1052, 355.0, 0.0,0.0,-4.0 
213, 1053, 355.0, 0.0,0.0,-4.0 
214, 1054, 50.0, 0.0,0.0,-0.0 
215, 1055, 50.0, 0.0,0.0,-0.0 
216, 1056, 50.0, 0.0,0.0,-0.0 
217, 1057, 50.0, 0.0,0.0,-0.0 
218, 1058, 50.0, 0.0,0.0,-0.0 
219, 1059, 50.0, 0.0,0.0,-0.0 
220, 1060, 155.0, 0.0,0.0,-2.0 
221, 1061, 155.0, 0.0,0.0,-2.0 
222, 1062, 350.0, 0.0,0.0,-4.0 
223, 1063, 55.00000000000001, 0.0,0.0,-1.0 
224, 1064, 55.00000000000001, 0.0,0.0,-1.0 
225, 1065, 55.00000000000001, 0.0,0.0,-1.0 
226, 1066, 20.0, 0.0,0.0,0.0 
227, 1067, 20.0, 0.0,0.0,0.0 
228, 1068, 55.00000000000001, 0.0,0.0,0.0 
229, 1069, 55.00000000000001, 0.0,0.0,0.0 
230, 1070, 20.0, 0.0,0.0,0.0 
231, 1071, 20.0, 0.0,0.0,0.0 
232, 1072, 55.00000000000001, 0.0,0.0,0.0 
233, 1073, 55.00000000000001, 0.0,0.0,0.0 
234, 1074, 55.00000000000001, 0.0,0.0,0.0 
235, 1075, 55.00000000000001, 0.0,0.0,0.0 
236, 1076, 355.0, 0.0,0.0,-4.0 
237, 1077, 0.0, 0.0,0.0,0.0 
238, 1078, 12.0, 0.0,0.0,-0.0 
239, 1079, 12.0, 0.0,0.0,-0.0 
240, 1080, 12.0, 0.0,0.0,-0.0 
241, 1081, 12.0, 0.0,0.0,-0.0 
242, 1082, 12.0, 0.0,0.0,-0.0 
243, 1083, 55.00000000000001, 0.0,0.0,-1.0 
244, 1084, 55.00000000000001, 0.0,0.0,-1.0 
245, 1085, 55.00000000000001, 0.0,0.0,-1.0 
246, 1086, 155.0, 0.0,0.0,-2.0 
247, 1087, 355.0, 0.0,0.0,-4.0 
248, 1088, 355.0, 0.0,0.0,-4.0 
249, 1089, 55.00000000000001, 0.0,0.0,-1.0 
250, 1090, 55.00000000000001, 0.0,0.0,-1.0 
251, 1091, 50.0, 0.0,0.0,-0.0 
252, 1092, 50.0, 0.0,0.0,-0.0 
253, 1093, 50.0, 0.0,0.0,-0.0 
254, 1094, 50.0, 0.0,0.0,-0.0 
255, 1095, 355.0, 0.0,0.0,-4.0 
256, 1096, 355.0, 0.0,0.0,-4.0 
