Gen Index, Gen Bus,1, 2, 3
143, 320, 0.0,0.0,0.0 
144, 320, -0.0,-0.0,-0.0 
145, 320, -0.0,-0.0,-0.0 
146, 320, -0.0,-0.0,-0.0 
147, 320, -0.0,-0.0,-0.0 
148, 320, -0.0,-0.0,-0.0 
149, 321, 0.0,0.0,1.0 
150, 322, -0.0,-0.0,1.0 
151, 322, -0.0,-0.0,1.0 
152, 322, -0.0,-0.0,1.0 
153, 322, 0.0,0.0,1.0 
154, 322, -0.0,-0.0,1.0 
155, 322, -0.0,-0.0,1.0 
156, 323, 0.0,-0.0,1.0 
157, 323, 0.0,0.0,1.0 
158, 324, 0.0,0.0,0.0 
159, 324, -0.0,-0.0,-0.0 
160, 324, -0.0,-0.0,-0.0 
161, 1001, 0.0,0.0,0.0 
162, 1002, 0.0,0.0,0.0 
163, 1003, -0.0,-0.0,0.0 
164, 1004, -0.0,-0.0,0.0 
165, 1005, 0.0,0.0,0.0 
166, 1006, 0.0,0.0,0.0 
167, 1007, -0.0,-0.0,0.0 
168, 1008, -0.0,-0.0,0.0 
169, 1009, -0.0,-0.0,0.0 
170, 1010, -0.0,-0.0,1.0 
171, 1011, -0.0,-0.0,1.0 
172, 1012, -0.0,-0.0,1.0 
173, 1013, -0.0,-0.0,1.0 
174, 1014, 1.0,1.0,1.0 
175, 1015, 0.0,0.0,1.0 
176, 1016, 0.0,0.0,1.0 
177, 1017, -0.0,-0.0,1.0 
178, 1018, -0.0,-0.0,1.0 
179, 1019, -0.0,-0.0,1.0 
180, 1020, 1.0,1.0,1.0 
181, 1021, -0.0,-0.0,1.0 
182, 1022, -0.0,-0.0,1.0 
183, 1023, -0.0,-0.0,1.0 
184, 1024, -0.0,-0.0,1.0 
185, 1025, -0.0,-0.0,1.0 
186, 1026, -0.0,-0.0,1.0 
187, 1027, -0.0,-0.0,1.0 
188, 1028, -0.0,-0.0,1.0 
189, 1029, -0.0,-0.0,1.0 
190, 1030, -0.0,-0.0,1.0 
191, 1031, -0.0,-0.0,1.0 
192, 1032, 0.0,0.0,0.0 
193, 1033, 0.0,0.0,0.0 
194, 1034, -0.0,-0.0,0.0 
195, 1035, -0.0,-0.0,0.0 
196, 1036, 0.0,0.0,0.0 
197, 1037, 0.0,0.0,0.0 
198, 1038, -0.0,-0.0,0.0 
199, 1039, -0.0,-0.0,0.0 
200, 1040, 0.0,-0.0,0.0 
201, 1041, 0.0,-0.0,0.0 
202, 1042, -0.0,-0.0,1.0 
203, 1043, -0.0,-0.0,1.0 
204, 1044, -0.0,-0.0,1.0 
205, 1045, 1.0,1.0,1.0 
206, 1046, -0.0,-0.0,1.0 
207, 1047, -0.0,-0.0,1.0 
208, 1048, -0.0,-0.0,1.0 
209, 1049, -0.0,-0.0,1.0 
210, 1050, -0.0,-0.0,1.0 
211, 1051, -0.0,-0.0,1.0 
212, 1052, -0.0,-0.0,1.0 
213, 1053, -0.0,-0.0,1.0 
214, 1054, -0.0,-0.0,1.0 
215, 1055, -0.0,-0.0,1.0 
216, 1056, -0.0,-0.0,1.0 
217, 1057, -0.0,-0.0,1.0 
218, 1058, -0.0,-0.0,1.0 
219, 1059, -0.0,-0.0,1.0 
220, 1060, -0.0,-0.0,1.0 
221, 1061, -0.0,-0.0,1.0 
222, 1062, -0.0,-0.0,1.0 
223, 1063, -0.0,-0.0,1.0 
224, 1064, -0.0,-0.0,1.0 
225, 1065, -0.0,-0.0,1.0 
226, 1066, 0.0,0.0,0.0 
227, 1067, 0.0,0.0,0.0 
228, 1068, -0.0,-0.0,0.0 
229, 1069, -0.0,-0.0,0.0 
230, 1070, 0.0,0.0,0.0 
231, 1071, 0.0,0.0,0.0 
232, 1072, -0.0,-0.0,0.0 
233, 1073, -0.0,-0.0,0.0 
234, 1074, -0.0,0.0,0.0 
235, 1075, -0.0,-0.0,0.0 
236, 1076, -0.0,-0.0,1.0 
237, 1077, 1.0,1.0,1.0 
238, 1078, 0.0,0.0,1.0 
239, 1079, 0.0,0.0,1.0 
240, 1080, 0.0,0.0,1.0 
241, 1081, 0.0,0.0,1.0 
242, 1082, 0.0,0.0,1.0 
243, 1083, -0.0,-0.0,1.0 
244, 1084, -0.0,-0.0,1.0 
245, 1085, 0.0,0.0,1.0 
246, 1086, -0.0,-0.0,1.0 
247, 1087, -0.0,-0.0,1.0 
248, 1088, -0.0,-0.0,1.0 
249, 1089, -0.0,-0.0,1.0 
250, 1090, -0.0,-0.0,1.0 
251, 1091, -0.0,-0.0,1.0 
252, 1092, -0.0,-0.0,1.0 
253, 1093, -0.0,-0.0,1.0 
254, 1094, -0.0,-0.0,1.0 
255, 1095, -0.0,-0.0,1.0 
256, 1096, -0.0,-0.0,1.0 
