,from_bus,Latitude_from_bus,Longitude_from_bus,to_bus,Latitude_to_bus,Longitude_to_bus
99,82.0,42.006859999999996,-121.316546,169.0,41.906859999999995,-121.216546
100,82.0,42.006859999999996,-121.316546,88.0,42.43835,-121.216546
101,82.0,42.006859999999996,-121.316546,97.0,42.53835,-121.07348400000001
102,82.0,42.006859999999996,-121.316546,167.0,41.906859999999995,-121.316546
103,91.0,43.55835,-121.135484,92.0,43.04835,-121.155484
104,118.0,38.656721000000005,-121.23978999999999,128.0,39.501494,-121.64040700000001
105,7.0,36.787401,-108.58456899999999,162.0,37.870746999999994,-109.314458
106,7.0,36.787401,-108.58456899999999,9.0,36.786401,-108.385669
107,7.0,36.787401,-108.58456899999999,16.0,36.805571,-108.443555
108,6.0,36.587401,-108.385669,7.0,36.787401,-108.58456899999999
109,157.0,39.177375,-111.028737,163.0,37.829747,-109.314458
110,157.0,39.177375,-111.028737,164.0,40.080517,-111.606269
111,154.0,40.469158,-111.94771499999999,157.0,39.177375,-111.028737
112,75.0,45.813936,-120.69228600000001,76.0,45.713936,-120.693974
113,75.0,45.813936,-120.69228600000001,81.0,44.48235,-121.019484
114,104.0,39.777745,-122.14296499999999,116.0,38.406721000000005,-121.10878999999998
115,100.0,40.398031,-122.263453,104.0,39.777745,-122.14296499999999
116,118.0,38.656721000000005,-121.23978999999999,122.0,39.06745,-122.276225
117,116.0,38.406721000000005,-121.10878999999998,118.0,38.656721000000005,-121.23978999999999
118,119.0,39.21745,-122.276225,120.0,39.16745,-122.276225
119,154.0,40.469158,-111.94771499999999,164.0,40.080517,-111.606269
120,113.0,40.908689,-121.935718,123.0,40.807689,-121.935718
121,100.0,40.398031,-122.263453,116.0,38.406721000000005,-121.10878999999998
122,162.0,37.870746999999994,-109.314458,163.0,37.829747,-109.314458
123,6.0,36.587401,-108.385669,27.0,36.585401,-108.585669
124,27.0,36.585401,-108.585669,28.0,36.787401,-108.383669
