Branch Index, From/To, To/From, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
(36, 325, 121), -0.0,0.0,0.0,0.0,40.0,73.0,2.0,87.0,-1.0,-12.0 
(37, 123, 217), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,-4.0,-104.0 
(37, 217, 123), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-14.0,88.0 
(38, 201, 202), 0.0,0.0,0.0,0.0,0.0,-19.0,-23.0,-16.0,-27.0,-36.0 
(38, 202, 201), 0.0,0.0,0.0,0.0,0.0,-36.0,-29.0,-38.0,-28.0,-19.0 
(39, 201, 203), 0.0,0.0,0.0,0.0,26.0,32.0,8.0,17.0,10.0,24.0 
(39, 203, 201), 0.0,0.0,0.0,0.0,-33.0,-39.0,-15.0,-24.0,-16.0,-30.0 
(40, 201, 205), 0.0,0.0,0.0,0.0,-3.0,-3.0,-13.0,-11.0,-5.0,-6.0 
(40, 205, 201), 0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,3.0,4.0 
(41, 202, 204), 0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,14.0 
(41, 204, 202), 0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-14.0,-15.0,-18.0 
(42, 202, 206), 0.0,0.0,0.0,0.0,-29.0,45.0,-23.0,-22.0,-11.0,-11.0 
(42, 206, 202), 0.0,0.0,0.0,0.0,23.0,-51.0,17.0,16.0,5.0,5.0 
(43, 203, 209), 0.0,0.0,0.0,-0.0,57.0,88.0,-13.0,-24.0,-9.0,-31.0 
(43, 209, 203), 0.0,0.0,0.0,-4.0,-61.0,-92.0,9.0,21.0,5.0,27.0 
(44, 204, 209), 0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,3.0 
(44, 209, 204), 0.0,0.0,0.0,-3.0,-3.0,-3.0,-8.0,-2.0,-3.0,-6.0 
(45, 205, 210), 0.0,0.0,0.0,0.0,-0.0,-0.0,-25.0,-23.0,-17.0,-18.0 
(45, 210, 205), 0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,14.0,15.0 
(46, 206, 210), 0.0,0.0,0.0,0.0,-140.0,-72.0,-137.0,-137.0,-150.0,-150.0 
(46, 210, 206), 0.0,0.0,0.0,0.0,-151.0,-223.0,-155.0,-156.0,-142.0,-141.0 
(47, 207, 208), 0.0,0.0,0.0,0.0,20.0,37.0,-30.0,-50.0,6.0,-30.0 
(47, 208, 207), 0.0,0.0,0.0,0.0,-22.0,-39.0,28.0,48.0,-8.0,29.0 
(48, 208, 209), 0.0,0.0,0.0,0.0,0.0,31.0,-1.0,-28.0,-3.0,-19.0 
(48, 209, 208), 0.0,0.0,0.0,0.0,-0.0,-36.0,-4.0,23.0,-2.0,14.0 
(49, 208, 210), 0.0,0.0,0.0,0.0,22.0,8.0,-27.0,-55.0,-24.0,-45.0 
(49, 210, 208), 0.0,0.0,0.0,-5.0,-27.0,-13.0,22.0,50.0,19.0,40.0 
(50, 211, 213), 0.0,0.0,-50.0,-1.0,109.0,54.0,-24.0,-6.0,38.0,-5.0 
(50, 213, 211), 0.0,0.0,38.0,-10.0,-118.0,-64.0,12.0,-5.0,-49.0,-6.0 
(51, 211, 214), 0.0,0.0,51.0,17.0,145.0,157.0,59.0,-8.0,-23.0,-6.0 
(51, 214, 211), 0.0,0.0,-61.0,-27.0,-153.0,-165.0,-69.0,-2.0,13.0,-4.0 
(52, 212, 213), 0.0,0.0,0.0,0.0,0.0,86.0,-5.0,-12.0,27.0,-12.0 
(52, 213, 212), 0.0,0.0,0.0,0.0,0.0,-96.0,-7.0,0.0,-38.0,0.0 
(53, 212, 223), 0.0,0.0,0.0,0.0,0.0,87.0,9.0,-7.0,-7.0,-2.0 
(53, 223, 212), 0.0,0.0,0.0,0.0,0.0,-106.0,-32.0,-17.0,-16.0,-21.0 
(54, 213, 223), 0.0,0.0,0.0,76.0,9.0,51.0,13.0,-2.0,-22.0,4.0 
(54, 223, 213), 0.0,0.0,0.0,-94.0,-24.0,-67.0,-34.0,-20.0,2.0,-25.0 
(55, 214, 216), 0.0,0.0,61.0,27.0,75.0,76.0,-20.0,14.0,-0.0,18.0 
(55, 216, 214), 0.0,0.0,-69.0,-36.0,-82.0,-82.0,11.0,-23.0,-9.0,-27.0 
(56, 215, 216), 0.0,0.0,33.0,-1.0,18.0,18.0,25.0,-55.0,3.0,-34.0 
(56, 216, 215), 0.0,0.0,-37.0,-3.0,-21.0,-21.0,-29.0,51.0,-7.0,30.0 
(57, 215, 221), 0.0,0.0,0.0,0.0,0.0,0.0,-26.0,-29.0,-8.0,-26.0 
(57, 221, 215), 0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,-4.0,14.0 
(58, 215, 221), 0.0,0.0,0.0,0.0,0.0,0.0,-26.0,-29.0,-8.0,-26.0 
(58, 221, 215), 0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,-4.0,14.0 
(59, 215, 224), 0.0,0.0,0.0,0.0,0.0,0.0,-25.0,3.0,-4.0,9.0 
(59, 224, 215), 0.0,0.0,0.0,0.0,0.0,-0.0,13.0,-15.0,-8.0,-21.0 
(60, 216, 217), 0.0,0.0,56.0,-31.0,75.0,79.0,-39.0,-4.0,-10.0,17.0 
(60, 217, 216), 0.0,0.0,-62.0,25.0,-80.0,-84.0,33.0,-2.0,3.0,-24.0 
(61, 216, 219), 0.0,0.0,0.0,0.0,0.0,-4.0,-13.0,-1.0,31.0,3.0 
(61, 219, 216), 0.0,0.0,0.0,0.0,0.0,0.0,7.0,-5.0,-36.0,-8.0 
(62, 217, 218), 0.0,0.0,22.0,33.0,57.0,76.0,-16.0,-3.0,16.0,-41.0 
(62, 218, 217), 0.0,0.0,-25.0,-36.0,-60.0,-78.0,13.0,-0.0,-19.0,37.0 
(63, 217, 222), 0.0,0.0,40.0,-58.0,22.0,8.0,-17.0,-14.0,-5.0,-24.0 
(63, 222, 217), 0.0,0.0,-60.0,33.0,-40.0,-26.0,-9.0,-12.0,-21.0,-2.0 
(64, 218, 221), 0.0,0.0,0.0,0.0,0.0,8.0,-15.0,-11.0,-13.0,-20.0 
(64, 221, 218), 0.0,0.0,0.0,0.0,0.0,-12.0,8.0,4.0,7.0,14.0 
(65, 218, 221), 0.0,0.0,0.0,0.0,0.0,8.0,-15.0,-11.0,-13.0,-20.0 
(65, 221, 218), 0.0,0.0,0.0,0.0,0.0,-12.0,8.0,4.0,7.0,14.0 
(66, 219, 220), 0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-16.0,-0.0,-14.0 
(66, 220, 219), 0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,-9.0,5.0 
(67, 219, 220), 0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-16.0,-0.0,-14.0 
(67, 220, 219), 0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,-9.0,5.0 
(68, 220, 223), 0.0,0.0,0.0,0.0,-13.0,-13.0,-26.0,-19.0,-4.0,-18.0 
(68, 223, 220), 0.0,0.0,0.0,0.0,9.0,9.0,21.0,14.0,-1.0,12.0 
(69, 220, 223), 0.0,0.0,0.0,0.0,-13.0,-13.0,-26.0,-19.0,-4.0,-18.0 
(69, 223, 220), 0.0,0.0,0.0,0.0,9.0,9.0,21.0,14.0,-1.0,12.0 
(70, 221, 222), 0.0,0.0,0.0,-25.0,-14.0,-0.0,-8.0,-8.0,4.0,-11.0 
(70, 222, 221), 0.0,0.0,0.0,9.0,3.0,-11.0,-9.0,-9.0,-21.0,-6.0 
(71, 223, 318), 0.0,0.0,0.0,0.0,-17.0,-14.0,26.0,-3.0,-40.0,103.0 
(71, 318, 223), 0.0,0.0,0.0,0.0,-1.0,-4.0,-51.0,-23.0,15.0,-126.0 
(72, 301, 302), 0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-29.0,-22.0,-22.0 
(72, 302, 301), 0.0,0.0,0.0,0.0,0.0,0.0,-29.0,-26.0,-28.0,-16.0 
(73, 301, 303), 0.0,0.0,0.0,0.0,51.0,55.0,19.0,18.0,3.0,1.0 
(73, 303, 301), 0.0,0.0,0.0,0.0,-57.0,-61.0,-26.0,-24.0,-10.0,-6.0 
(74, 301, 305), 0.0,0.0,0.0,0.0,-3.0,-3.0,-17.0,-3.0,-14.0,-22.0 
(74, 305, 301), 0.0,0.0,0.0,0.0,-0.0,-0.0,14.0,1.0,11.0,20.0 
(75, 302, 304), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-4.0 
(75, 304, 302), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,2.0 
(76, 302, 306), 0.0,0.0,0.0,0.0,8.0,17.0,-21.0,-4.0,-11.0,-20.0 
(76, 306, 302), 0.0,0.0,0.0,0.0,-14.0,-23.0,14.0,-2.0,5.0,16.0 
(77, 303, 309), 0.0,0.0,0.0,0.0,0.0,13.0,-20.0,-3.0,-2.0,-25.0 
(77, 309, 303), 0.0,0.0,0.0,0.0,0.0,-17.0,17.0,-1.0,-2.0,22.0 
(78, 304, 309), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-2.0,-17.0 
(78, 309, 304), 0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,12.0,-1.0,14.0 
(79, 305, 310), 0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-1.0,-11.0,-34.0 
(79, 310, 305), 0.0,0.0,0.0,0.0,0.0,0.0,11.0,-2.0,8.0,32.0 
(80, 306, 310), 0.0,0.0,0.0,0.0,-101.0,-97.0,-134.0,-141.0,-141.0,-130.0 
(80, 310, 306), 0.0,0.0,0.0,0.0,-180.0,-198.0,-160.0,-144.0,-129.0,-89.0 
(81, 307, 308), 0.0,0.0,0.0,0.0,30.0,38.0,-30.0,-30.0,-37.0,18.0 
(81, 308, 307), 0.0,0.0,0.0,0.0,-32.0,-40.0,28.0,28.0,36.0,-19.0 
(82, 308, 309), 0.0,0.0,0.0,0.0,0.0,0.0,1.0,-18.0,-25.0,0.0 
(82, 309, 308), 0.0,0.0,0.0,0.0,0.0,0.0,-6.0,14.0,21.0,-4.0 
(83, 308, 310), 0.0,0.0,0.0,0.0,32.0,40.0,-29.0,-45.0,-45.0,-16.0 
(83, 310, 308), 0.0,0.0,0.0,-5.0,-37.0,-45.0,24.0,40.0,41.0,12.0 
(84, 311, 313), 0.0,0.0,0.0,12.0,70.0,70.0,10.0,28.0,33.0,-44.0 
(84, 313, 311), 0.0,0.0,0.0,-23.0,-79.0,-79.0,-20.0,-39.0,-44.0,35.0 
(85, 311, 314), 0.0,0.0,0.0,0.0,68.0,81.0,80.0,-30.0,-49.0,44.0 
(85, 314, 311), 0.0,0.0,0.0,0.0,-75.0,-89.0,-89.0,20.0,39.0,-51.0 
(86, 312, 313), 0.0,0.0,0.0,0.0,0.0,-0.0,32.0,14.0,10.0,5.0 
(86, 313, 312), 0.0,0.0,0.0,0.0,0.0,0.0,-43.0,-25.0,-20.0,-14.0 
(87, 312, 323), 0.0,0.0,0.0,0.0,90.0,123.0,1.0,-7.0,-9.0,-70.0 
(87, 323, 312), 0.0,0.0,0.0,0.0,-108.0,-141.0,-24.0,-16.0,-13.0,50.0 
(88, 313, 323), 0.0,0.0,0.0,0.0,-0.0,-0.0,-16.0,-15.0,-15.0,-81.0 
(88, 323, 313), 0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-5.0,-5.0,63.0 
(89, 314, 316), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,-23.0 
(89, 316, 314), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-5.0,16.0 
(90, 315, 316), 0.0,0.0,0.0,0.0,7.0,22.0,38.0,-12.0,30.0,-72.0 
(90, 316, 315), 0.0,0.0,0.0,0.0,-10.0,-26.0,-42.0,8.0,-34.0,69.0 
(91, 315, 321), 0.0,0.0,0.0,0.0,-2.0,51.0,-22.0,-14.0,-27.0,-9.0 
(91, 321, 315), 0.0,0.0,0.0,0.0,-6.0,-61.0,10.0,2.0,15.0,-0.0 
(92, 315, 321), 0.0,0.0,0.0,0.0,-2.0,51.0,-22.0,-14.0,-27.0,-9.0 
(92, 321, 315), 0.0,0.0,0.0,0.0,-6.0,-61.0,10.0,2.0,15.0,-0.0 
(93, 315, 324), 0.0,0.0,0.0,0.0,-68.0,-60.0,-22.0,-2.0,14.0,-3.0 
(93, 324, 315), -0.0,-0.0,0.0,0.0,59.0,50.0,10.0,-10.0,-26.0,-6.0 
(94, 316, 317), 0.0,0.0,0.0,0.0,0.0,0.0,13.0,-13.0,-2.0,12.0 
(94, 317, 316), 0.0,0.0,0.0,0.0,0.0,0.0,-19.0,7.0,-5.0,-17.0 
(95, 316, 319), 0.0,0.0,0.0,0.0,-4.0,32.0,-35.0,30.0,60.0,-167.0 
(95, 319, 316), 0.0,0.0,0.0,0.0,0.0,-37.0,29.0,-36.0,-66.0,163.0 
(96, 317, 318), 0.0,0.0,0.0,0.0,22.0,68.0,39.0,-1.0,25.0,2.0 
(96, 318, 317), 0.0,0.0,0.0,0.0,-24.0,-70.0,-42.0,-2.0,-28.0,-5.0 
(97, 317, 322), 0.0,0.0,0.0,0.0,-22.0,-68.0,-20.0,-6.0,-20.0,15.0 
(97, 322, 317), 0.0,0.0,0.0,0.0,4.0,49.0,-5.0,-21.0,-6.0,-35.0 
(98, 318, 321), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0 
(98, 321, 318), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0 
(99, 318, 321), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0 
(99, 321, 318), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0 
(100, 319, 320), 0.0,0.0,0.0,0.0,0.0,0.0,-33.0,-1.0,14.0,-100.0 
(100, 320, 319), 0.0,0.0,0.0,0.0,0.0,0.0,24.0,-9.0,-24.0,91.0 
(101, 319, 320), 0.0,0.0,0.0,0.0,0.0,0.0,-33.0,-1.0,14.0,-100.0 
(101, 320, 319), 0.0,0.0,0.0,0.0,0.0,0.0,24.0,-9.0,-24.0,91.0 
(102, 320, 323), 0.0,0.0,0.0,0.0,-13.0,-13.0,-37.0,-4.0,11.0,-104.0 
(102, 323, 320), 0.0,0.0,0.0,0.0,9.0,9.0,31.0,-1.0,-16.0,100.0 
(103, 320, 323), 0.0,0.0,0.0,0.0,-13.0,-13.0,-37.0,-4.0,11.0,-104.0 
(103, 323, 320), 0.0,0.0,0.0,0.0,9.0,9.0,31.0,-1.0,-16.0,100.0 
(104, 321, 322), 0.0,0.0,0.0,0.0,3.0,96.0,6.0,1.0,5.0,23.0 
(104, 322, 321), 0.0,0.0,0.0,0.0,-15.0,-109.0,-22.0,-18.0,-22.0,-35.0 
(105, 323, 325), 0.0,0.0,0.0,0.0,40.0,73.0,2.0,87.0,-1.0,-12.0 
(105, 325, 323), 0.0,0.0,0.0,0.0,-40.0,-73.0,-2.0,-87.0,1.0,12.0 
(106, 101, 1001), 0.0,0.0,0.0,0.0,-5.0,-5.0,0.0,-6.0,-2.0,0.0 
(106, 1001, 101), 0.0,0.0,0.0,0.0,5.0,5.0,0.0,6.0,2.0,0.0 
(107, 101, 1002), 0.0,0.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0 
(107, 1002, 101), 0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0 
(108, 101, 1003), 0.0,0.0,0.0,0.0,-19.0,-17.0,25.0,-19.0,-5.0,22.0 
(108, 1003, 101), 0.0,0.0,0.0,0.0,19.0,17.0,-25.0,19.0,5.0,-22.0 
(109, 101, 1004), 0.0,0.0,0.0,0.0,-19.0,-17.0,25.0,-21.0,-8.0,22.0 
(109, 1004, 101), 0.0,0.0,0.0,0.0,19.0,17.0,-25.0,21.0,8.0,-22.0 
(110, 102, 1005), 0.0,0.0,0.0,0.0,0.0,-5.0,-10.0,0.0,0.0,0.0 
(110, 1005, 102), 0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0 
(111, 102, 1006), 0.0,0.0,0.0,0.0,-0.0,-5.0,-10.0,-5.0,-1.0,0.0 
(111, 1006, 102), 0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,1.0,0.0 
(112, 102, 1007), 0.0,0.0,0.0,0.0,3.0,-16.0,25.0,-17.0,-5.0,-30.0 
(112, 1007, 102), 0.0,0.0,0.0,0.0,-3.0,16.0,-25.0,17.0,5.0,30.0 
(113, 102, 1008), 0.0,0.0,0.0,0.0,-0.0,-16.0,25.0,-17.0,7.0,24.0 
(113, 1008, 102), 0.0,0.0,0.0,0.0,0.0,16.0,-25.0,17.0,-7.0,-24.0 
(114, 103, 124), 0.0,0.0,0.0,0.0,58.0,64.0,-24.0,29.0,4.0,-41.0 
(114, 124, 103), 0.0,0.0,0.0,0.0,-60.0,-66.0,25.0,-30.0,-4.0,42.0 
(115, 107, 1009), 0.0,-0.0,-0.0,-0.0,-19.0,-44.0,-29.0,25.0,-19.0,25.0 
(115, 1009, 107), 0.0,0.0,0.0,0.0,19.0,44.0,29.0,-25.0,19.0,-25.0 
(116, 109, 111), 0.0,0.0,-7.0,14.0,37.0,54.0,-13.0,-2.0,-11.0,-21.0 
(116, 111, 109), 0.0,0.0,6.0,-16.0,-41.0,-58.0,13.0,1.0,11.0,22.0 
(117, 109, 112), 0.0,0.0,7.0,-10.0,-34.0,18.0,-29.0,-37.0,-30.0,-31.0 
(117, 112, 109), 0.0,0.0,-9.0,10.0,35.0,-20.0,29.0,38.0,31.0,32.0 
(118, 110, 111), 0.0,0.0,-7.0,15.0,128.0,116.0,35.0,57.0,45.0,10.0 
(118, 111, 110), 0.0,0.0,7.0,-16.0,-132.0,-119.0,-36.0,-59.0,-46.0,-11.0 
(119, 110, 112), 0.0,0.0,7.0,-9.0,56.0,79.0,18.0,21.0,25.0,1.0 
(119, 112, 110), 0.0,0.0,-8.0,10.0,-58.0,-81.0,-19.0,-22.0,-26.0,-1.0 
(120, 113, 1010), 0.0,0.0,15.0,0.0,10.0,5.0,15.0,15.0,-12.0,15.0 
(120, 1010, 113), 0.0,0.0,-15.0,-0.0,-10.0,-5.0,-15.0,-15.0,12.0,-15.0 
(121, 113, 1011), 0.0,0.0,-19.0,-19.0,10.0,5.0,15.0,15.0,-12.0,15.0 
(121, 1011, 113), 0.0,0.0,19.0,19.0,-10.0,-5.0,-15.0,-15.0,12.0,-15.0 
(122, 113, 1012), 0.0,0.0,-19.0,15.0,10.0,5.0,15.0,-19.0,-12.0,15.0 
(122, 1012, 113), 0.0,0.0,19.0,-15.0,-10.0,-5.0,-15.0,19.0,12.0,-15.0 
(123, 113, 1013), 0.0,0.0,-19.0,15.0,10.0,5.0,15.0,15.0,-12.0,15.0 
(123, 1013, 113), 0.0,0.0,19.0,-15.0,-10.0,-5.0,-15.0,-15.0,12.0,-15.0 
(124, 114, 1014), 0.0,0.0,0.0,-93.0,32.0,18.0,50.0,50.0,50.0,50.0 
(124, 1014, 114), -0.0,0.0,0.0,93.0,-32.0,-18.0,-50.0,-50.0,-50.0,-50.0 
(125, 115, 1015), 0.0,0.0,-4.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0 
(125, 1015, 115), 0.0,0.0,4.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0 
(126, 115, 1016), 0.0,0.0,-4.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0 
(126, 1016, 115), 0.0,0.0,4.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0 
(127, 115, 1017), 0.0,0.0,50.0,50.0,11.0,9.0,50.0,50.0,50.0,50.0 
(127, 1017, 115), 0.0,0.0,-50.0,-50.0,-11.0,-9.0,-50.0,-50.0,-50.0,-50.0 
(128, 116, 1018), 0.0,0.0,-40.0,50.0,14.0,7.0,50.0,50.0,50.0,50.0 
